appointment_id,start_time,end_time,start_minutes,end_minutes,priority
682,08:00:53,08:35:11,480,515,28
289,08:01:12,08:08:36,481,488,26
108,08:03:41,08:06:17,483,486,65
295,08:09:34,08:22:22,489,502,40
218,08:22:11,08:38:11,502,518,45
50,08:23:29,08:27:29,503,507,34
360,08:28:35,08:46:53,508,526,51
538,08:36:11,08:58:47,516,538,62
106,08:39:07,08:56:49,519,536,40
322,08:51:51,09:01:33,531,541,59
598,08:59:49,09:09:37,539,549,50
94,09:00:48,09:23:06,540,563,90
432,09:05:32,09:19:38,545,559,65
563,09:10:30,09:48:30,550,588,60
33,09:20:51,09:29:51,560,569,71
125,09:24:02,09:30:38,564,570,83
172,09:30:51,09:48:21,570,588,28
212,09:31:26,09:50:38,571,590,25
624,09:49:29,10:17:41,589,617,68
254,09:50:19,09:56:01,590,596,44
31,09:51:38,10:24:44,591,624,78
393,10:18:48,10:30:30,618,630,52
429,10:19:39,10:40:51,619,640,23
17,10:26:00,10:36:12,626,636,55
549,10:31:33,10:53:45,631,653,82
150,10:37:26,10:54:08,637,654,37
164,10:41:54,10:47:18,641,647,25
315,10:54:48,11:11:36,654,671,61
211,10:55:04,11:02:10,655,662,59
282,11:01:16,11:06:10,661,666,78
39,11:03:04,11:11:40,663,671,90
66,11:07:37,11:18:01,667,678,48
654,11:12:44,11:46:26,672,706,30
114,11:12:46,11:16:10,672,676,53
45,11:17:18,11:24:18,677,684,51
115,11:23:55,11:49:49,683,709,38
188,11:25:19,11:47:19,685,707,45
430,11:47:44,12:24:02,707,744,39
35,11:50:42,12:02:30,710,722,41
57,11:55:15,12:17:21,715,737,15
356,12:03:28,12:46:04,723,766,71
51,12:18:06,12:48:18,738,768,87
637,12:24:51,12:39:27,744,759,54
556,12:40:33,13:12:45,760,792,20
16,12:47:11,13:23:11,767,803,47
239,12:49:13,13:05:19,769,785,71
7,13:06:31,13:11:19,786,791,32
142,13:12:40,13:13:28,792,793,58
475,13:13:31,13:22:13,793,802,59
130,13:14:25,13:15:37,794,795,90
400,13:23:14,13:57:02,803,837,20
371,13:24:13,13:43:37,804,823,60
21,13:37:57,13:43:09,817,823,77
437,13:44:40,14:09:16,824,849,64
455,13:57:57,14:13:09,837,853,88
233,14:00:40,14:29:34,840,869,37
79,14:10:16,14:16:16,850,856,63
649,14:14:08,14:31:44,854,871,71
278,14:17:19,14:42:31,857,882,62
180,14:30:38,14:38:20,870,878,51
651,14:32:51,14:38:27,872,878,63
610,14:39:34,14:53:58,879,893,81
197,14:39:14,14:43:26,879,883,28
54,14:43:33,15:11:27,883,911,34
590,14:55:01,15:18:49,895,918,89
191,15:00:08,15:27:14,900,927,33
351,15:12:32,15:31:50,912,931,22
465,15:19:55,15:27:55,919,927,74
129,15:28:11,15:35:23,928,935,66
392,15:29:08,15:41:26,929,941,77
72,15:32:48,15:34:54,932,934,81
269,15:35:49,16:02:01,935,962,34
144,15:36:41,15:40:17,936,940,36
203,15:41:27,15:43:03,941,943,90
80,15:42:30,16:00:36,942,960,62
222,15:44:54,16:03:48,944,963,64
628,16:01:38,16:29:26,961,989,75
331,16:03:01,16:27:13,963,987,71
235,16:12:33,16:33:21,972,993,34
410,16:28:17,16:36:47,988,996,51
642,16:30:34,16:59:46,990,1019,35
77,16:34:16,16:51:16,994,1011,59
201,16:37:39,17:00:57,997,1020,58
148,16:52:19,17:00:31,1012,1020,58
626,17:00:42,17:15:54,1020,1035,30
227,17:01:51,17:06:09,1021,1026,57
206,17:01:36,17:34:42,1021,1054,63
347,17:07:13,17:13:01,1027,1033,77
104,17:14:06,17:23:12,1034,1043,89
49,17:17:03,17:40:09,1037,1060,83
244,17:23:55,17:25:31,1043,1045,79
6,17:26:42,17:32:42,1046,1052,29
444,17:33:42,17:48:36,1053,1068,34
116,17:35:29,17:41:05,1055,1061,70
686,17:40:57,17:48:15,1060,1068,44
41,17:42:03,17:52:57,1062,1072,50
655,17:49:16,17:51:22,1069,1071,44
307,17:52:17,18:01:11,1072,1081,64
141,17:53:45,18:02:27,1073,1082,27
453,18:02:03,18:16:09,1082,1096,23
684,18:17:16,18:40:40,1097,1120,36
