appointment_id,start_time,end_time,start_minutes,end_minutes,priority
395,08:01:01,08:17:01,481,497,49
118,08:03:45,08:10:03,483,490,66
544,08:18:01,08:33:43,498,513,28
494,08:34:31,08:55:43,514,535,61
301,08:41:26,08:54:56,521,534,66
166,08:55:58,09:10:52,535,550,32
540,08:56:50,09:05:14,536,545,65
279,09:11:49,09:47:37,551,587,83
369,09:48:43,10:02:37,588,602,17
530,09:54:48,10:05:54,594,605,23
185,10:03:42,10:25:54,603,625,76
120,10:16:18,10:23:54,616,623,80
635,10:24:43,10:45:13,624,645,78
199,10:27:13,10:48:13,627,648,26
578,10:46:17,10:50:17,646,650,58
324,10:49:18,11:01:12,649,661,31
357,10:51:53,10:57:53,651,657,90
137,11:02:13,11:04:19,662,664,88
234,11:05:29,11:22:17,665,682,38
208,11:12:34,11:27:22,672,687,28
38,11:23:30,11:57:54,683,717,61
69,11:42:13,11:46:19,702,706,74
62,11:57:04,12:12:58,717,732,70
314,11:58:58,12:15:52,718,735,75
24,12:14:15,12:33:45,734,753,71
408,12:16:56,12:19:08,736,739,19
195,12:20:25,12:47:43,740,767,61
639,12:34:43,12:41:07,754,761,30
512,12:42:11,13:13:47,762,793,59
12,12:48:38,13:14:26,768,794,85
151,13:15:02,13:47:02,795,827,28
372,13:15:29,13:29:11,795,809,65
412,13:30:03,13:57:27,810,837,49
500,13:47:59,14:23:29,827,863,46
64,13:58:33,14:20:33,838,860,65
300,14:21:38,14:33:20,861,873,79
640,14:24:25,14:49:19,864,889,60
256,14:34:30,14:59:48,874,899,37
614,14:50:13,14:54:37,890,894,65
409,14:55:25,14:56:31,895,896,28
105,14:57:33,15:03:03,897,903,25
159,15:00:53,15:05:41,900,905,49
423,15:04:10,15:07:40,904,907,86
334,15:06:36,15:17:06,906,917,71
562,15:08:42,15:12:54,908,912,81
98,15:13:40,15:19:16,913,919,35
170,15:18:05,15:28:11,918,928,53
607,15:20:18,15:49:12,920,949,60
226,15:29:14,16:05:08,929,965,68
134,15:50:02,15:58:32,950,958,52
641,15:59:36,16:07:12,959,967,82
231,16:06:20,16:09:20,966,969,88
596,16:08:06,16:46:06,968,1006,48
255,16:10:22,16:28:22,970,988,55
320,16:29:22,16:41:28,989,1001,78
65,16:42:18,17:12:42,1002,1032,35
504,16:47:04,16:57:58,1007,1017,90
522,16:58:57,17:13:03,1018,1033,31
404,17:13:54,17:44:18,1033,1064,56
132,17:14:00,17:41:00,1034,1061,63
435,17:42:01,17:55:49,1062,1075,32
209,17:45:18,18:00:30,1065,1080,48
656,17:56:39,18:12:03,1076,1092,18
378,18:01:26,18:04:26,1081,1084,51
60,18:05:24,18:07:48,1085,1087,21
61,18:08:40,18:11:46,1088,1091,75
302,18:13:05,18:54:11,1093,1134,56
373,18:13:05,18:36:23,1093,1116,60
305,18:37:37,19:09:07,1117,1149,39
27,19:09:55,19:41:13,1149,1181,78
200,19:42:17,19:59:05,1182,1199,87
